"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","VP-Nummer ","Gib an, zu welcher Fahrt dieses Interview geführt wird ","Gruppe A - Termin 2: H-on  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt  (VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-on  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ...(VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-off  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe A - Termin 2: H-off  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Gruppe B (H-off)  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe B (H-off)  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Sonstige Anmerkungen  kurze Notiz zu den Wetterbedingungen und zum Zustand der Straße machen:- Wetter: z.B. hell, bewölkt oder dämmrig, blauer Himmel oder ....- Straße: nass, feucht, schneebedeckt, trocken, ... ","Trigger  Haben Sie während der Fahrt den Triggerknopf gedrückt? Bitte führen Sie noch einmal aus, was Ihnen in diesem Moment aufgefallen ist, bzw. was sie uns mitteilen möchten. ","Fahrerinitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen - zum Beispiel beim Auffahren auf oder Abfahren von Autobahnen - haben Sie das System aktiviert oder deaktiviert, um damit in einen anderen Fahrmodus wechseln.Gab es hierbei Situationen oder Aspekte, über die Sie uns gerne mehr erzählen würden? ","Systeminitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen hat das System von sich L2 teilweise oder komplett deaktiviert oder Sie zu einer Übernahme aufgefordert.  Gab es hierbei Situationen, über die Sie uns gerne mehr erzählen würden? ","DMS  Wenn L2 aktiv war, gab es ein Fahrerbeobachtungssystem, das gewarnt hat, wenn Sie   	ON --&gt; die Hände zu lange vom Lenkrad genommen haben.oder 	OFF --&gt; zu lange von der Straße weggesehen haben.   Möchten Sie dieses Fahrerbeobachtungssystem noch einmal genauer kommentieren oder bewerten oder Ihre Erlebnisse mit dem Fahrerbeobachtungssystem beschreiben?  ","HMI  Für die Bedienung von L2 haben Sie verschiedene Tasten am Lenkrad verwendet. Je nach Systemzustand wurden Ihnen im Anschluss unterschiedliche Anzeigen im Kombi-Display (oder dem Head-up Display) angezeigt.  Möchten Sie allgemein die Bedienung des L2 Systems oder die verwendeten Anzeigen noch einmal genauer kommentieren bzw. bewerten? ","Systemverhalten  Während der Nutzung von L2 haben Sie die aktive Spurführung, die Geschwindigkeitskontrolle, das Halten des Abstandes und die Interaktion mit anderen Verkehrsteilnehmern in verschiedenen Situationen erlebt.  Möchten Sie dieses Fahrverhalten des Systems noch einmal genauer kommentieren bzw. bewerten oder Ihre Erlebnisse beschreiben? ","Bewertung L2  In diesem Versuch konnten Sie Erfahrungen mit L2 sammeln. Würden Sie dies auch gern in Ihrem privaten Fahrzeug nutzen? ","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Längsführung/ACC]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Querführung/Spurhaltung/Lenken]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [nur für A-2 &amp; B beantwortbarH-off/Hände frei nutzen können]","Bewertung L2  Stellen Sie sich vor, Ihr privates Fahrzeug wird mit einem L2 System ausgestattet.Hätten Sie lieber die Variante H-on oder die Variante H-off? ","Bewertung L2 Anmerkungen zu den vorigen Fragen/Antworten vom Probanden zur L2-Bewertung.","Haben Sie noch weitere Kommentare oder Anmerkungen zu der erlebten Fahrt mit L2?","Haben Sie noch weitere Kommentare oder Anmerkungen zu der Studie?","Gesamtzeit","Gruppenzeit: Metadaten","Fragenzeit: VP","Fragenzeit: Fahrt","Gruppenzeit: VL-Protokoll","Fragenzeit: AOnVP","Fragenzeit: AOnFzg","Fragenzeit: AOffVP","Fragenzeit: AOffFzg","Fragenzeit: BOffVP","Fragenzeit: BOffFzg","Fragenzeit: VLProtSonst","Gruppenzeit: Leitfaden","Fragenzeit: Trigger","Fragenzeit: FahrerTrans","Fragenzeit: SystemTrans","Fragenzeit: DMS","Fragenzeit: HMI","Fragenzeit: Systemverhalten","Fragenzeit: L2PrivNutzung","Fragenzeit: L2Komponenten","Fragenzeit: Ranking","Fragenzeit: L2BewertungKomm","Fragenzeit: Sonstiges","Fragenzeit: Studie"
"41","2022-03-18 09:14:53","3","de","736790158","2022-03-18 08:58:13","2022-03-18 09:14:52","4","Gruppe A - Termin 2: H-on","","","","","","","16.03.22 Während Fahrt 3x Trigger Knopf gedrückt, obwohl kein Fahrtenblock gestartet wurde","1. A9 Richtung München Dreieck Holledau. Aus Baustelle raus -> 60er Schild von Ausfahrt erkannt -> Vollbremsung gefühlt -> Proband hat Gas gegeben
2. Block 2: Schlechte Schildererkennung","Autobahnausfahrt nicht vertraut, dass Fahrzeug selber bremst -> Proband hat Abfahrt meistens manuell oder mit 60 km/h in L2 durchgeführt
Nicht vertraut, dass Fahrzeug bei roter Ampel hinter anderem stehendem Fahrzeug abbremst -> Wechsel in manuell","Kann sich an keine Situation erinnern","Im Stau einmal beide Hände vom Lenkrad -> Warnung -> Proband hat wieder ans Lenkrad gegriffen
Sonst immer mindestens eine Hand am Lenkrad","Alles verständlich, einfach, schnell zu gewöhnen","Grundsätzlich gut
Zu wenig Zeit zu probieren
Es war ein ständiges Gas geben / bremsen, da größter Abstand eingestellt
Proband hat sich daran gewöhnt noch weiter vorausschauend zu fahren -> frühere Spurwechsel als manuell
Wenn wenig Verkehr super, im dichten Verkehr zu ruckelnd
Beim Überholen beschleunigt das Fahrzeug erst wenn komplett auf neuer Spur -> wünscht sich frühere Beschleunigung","Unsicher","Eher nein","Eher ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","","","","1000.14","15.55","","","49.62","","","","","","","","934.97","","","","","","","","","","","",""
"42","2022-03-18 13:40:11","3","de","780668796","2022-03-18 11:19:35","2022-03-18 13:40:11","4","Gruppe A - Termin 2: H-off","16.03.22: Proband hat 3x Trigger gedrückt, obwohl keine Fahrtenblocks an dem Tag gestartet wurden Block 1 am 14. und Block 2 am 17.","","E: Proband muss sich erst an das System gewöhnen -> unsicher und vertraut System noch nicht ganz
E & V: Proband gibt bei Überholvorgängen meistens noch zusätzlich manuell Gas, da größter Abstand zum vorderfahrzeug eingestellt
V: nach Wenden: Proband reaktiviert das System über X/O Taste -> erst On Modus -> Proband ungeduldig, dass nicht BlueCruise -> erneutes Drücken der X/O Taste bis H-off wieder aktiv","V: Baustelleneinfahrt auf mittlerer Spur -> H-off abgebrochen, da zu enge Spur (Proband hatte Hände eh am Lenkrad)
V: in Baustelle H-off abgebrochen, wegen einer Ausfahrt -> Proband hats sofort gemerkt und hin gegriffen, nach erneuter Verfügbarkeit auch wieder los gelassen
V: in Baustelle auf 40 km/h reduziert, wegen einer Ausfahrt & an einer anderen Stelle falsche Geschwindigkeitserkennung -> Proband gibt manuell Gas und markiert die Situationen mit Trigger","","","Proband versteht Lime H-off Nachbefragung so, dass sie ja die Systeme (Vorerfahrung) durch den VW schon kennt -> Proband war sich dann im Nachhinein nicht sicher ob allgemein auf L2 oder nur auf H-off bezogen war","Passende Geschwindikeit nicht erkannt, ohne Grund abgebremst -> schlechte Schildererkennung","Proband wollte mit XO das System wieder aktivieren
Proband war sich der On Funktion nicht bewusst. Hat insgesamt 3x XO gedrückt bis wieder im Off Modus","Im Baustellenbereich: Proband hats gleich wahrgenommen und Kontrolle übernommen","Hat nichts mitbekommen, keine Warnungen","War übersichtlich, leicht erlernbar","Cool, besser und entspannter als VW
Vertrauen musste erst aufgebaut werden -> war dann aber da
Ist Gewohnheitssache","Ja","Eher ja","Eher ja","Ja","H-off","Alles in Kombination ist super","","toll, super
Aufbau mit On und Off ist gut zum Erfahrung sammeln","8435.29","17.13","","","721.09","","","","","","","","7697.07","","","","","","","","","","","",""
"43","2022-03-18 16:46:35","3","de","385185321","2022-03-18 16:37:13","2022-03-18 16:46:35","5","Gruppe A - Termin 2: H-on","","","","","","","","","","","habe häufiger H-off Warnings bekommen, war nervig. ","","hat rechts überholt; hat zu stark Gas gegeben","Ja","Ja","Eher ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","auf mittlerem Ring war es gerade sehr angenehm, dass er automatisch runtebremst und wieder anfährt, auf jeden Fall eine Entlastung","","","561.96","10.99","","","3.81","","","","","","","","547.16","","","","","","","","","","","",""
"44","2022-03-18 18:27:50","3","de","1219501254","2022-03-18 18:16:37","2022-03-18 18:27:50","5","Gruppe A - Termin 2: H-off","sehr souverän","","6 H-off Warnings; 
1x H-Off Abwurf in baustelle","nur nach Langenbruck","","","","","","war immer klar, was ich zu tun hatte. zB in der baustelle, wo ich h-on fahren musste","H-off Warnings waren gut.","voll intuitiv","hätte nicht erwartet, dass es so lange allein fahren kann","Eher ja","Ja","Ja","Ja","H-off","auf Dauer evtl. zu langweilig; H-on bringt mir weniger Entlastung im täglichen Fahrbetrieb.","bin mit der Aufmerksamkeit sehr oft abgeschweift - wenn nicht im Rahmen der Studie sogar noch mehr. Deutlich mehr als H-on, dort hatte ich noch mehr das Gefühl, dass ich noch selber lenken muss.","","673.38","10.71","","","45.07","","","","","","","","617.6","","","","","","","","","","","",""
"46","2022-03-20 15:08:14","3","de","660266542","2022-03-20 14:36:54","2022-03-20 15:08:14","59","Gruppe B (H-off)","","","","","mehrere Male war VP nicht sicher, ob Fahrzeug automatisch neues Geschwindigkeitslimit erkennt und übernimmt. VP bremst manuell schon früher & beim ersten Mail war sich unsicher, wie System wieder aktiviert wird
VP will wissen, ob auch selber gegenlenken darf -> Frage wurde durch VL beantwortet. Situation mit Trigger markiert
VP anfangs unsicher, ob bei Spurwechsel zusätzlich Gas gegeben werden muss
Nach Wenden: VP will System aus passiv wieder aktivieren, drückt den falschen Knopf und deaktiviert das System zu aus
Einscherendes Fahrzeug mit größerer Geschwindigkeit: VP hat erwartet, dass Fahrzeug sofort den Abstand wieder herstellt (System hat wegen der Differenzgeschwindigkeit die eigene Geschwindigkeit aber gehalten)
","Baustelle: Fahrzeug schaltet in manuell oder H-on -> VP erkennt schnell, dass wieder übernehmen muss
Baustelle: fahrzeuginitiierte Übernahme: VP denkt, dass spät reagiert und übernommen hat, weil zu unaufmerksam in L2 Modus geworden; zusätzlich denkt VP, dass zu sehr mit System beschäftigt und somit weniger die Umgebung im Blick hat","Alle Kommentare zu Versuchsfahrt","VP hat sehr häufen den Knopf gedrückt. Kann hier nicht alles wiedergegeben werden","VP hat Umgebung mehr ausgeblendet, da zu sehr mit System beschäftigt ist
Braucht mehr Zeit zum Eingewöhnen
VP reflektiert, dass länger nach Auffahrt im manuellen Modus bleibt, um sich mit Umgebung zu arangieren","Baustelle: VP wünscht sich einen Warnton, da spät erkannt hat, dass übernehmen muss -> VP hatte Angst, dass zu spät übernommen hat und schon ein Unfall hätte passieren können","Es kam nie zu Warnungen","VP wünscht sich einen Warnton bei systeminitiierter Transition
Sonst gut","Fahrzeug kam gefühlt in Kurve und Wind sehr nah an andere Autos -> VP hat trotzdem vertraut, war aber in Hab Acht Stellung
Bei einem Fahrzeug, das in gleiche Spur mit höherer Geschwindigkeit geschert ist, hat sich VP gewünscht, dass Abstand besser gehalten wird
System gut, da sonst nicht so häufig die Hände los gelassen hätte","Ja","Ja","Ja","Ja","","Würde H-off auf der Autobahn gerne nutzen","Zukunftsträchtig
VP nicht sicher, was mit Händen machen soll
Gefahr von vermehrter Handy-Nutzung","Cool","1880.61","16.3","","","476.23","","","","","","","","1388.08","","","","","","","","","","","",""
"48","2022-03-21 16:39:53","3","de","1997431050","2022-03-21 16:19:32","2022-03-21 16:39:53","60","Gruppe B (H-off)","","","","","sehr routiniert; greift ein durch Bremsen bei einscherendem LKW; Vertrauen in Kompetenz der Automation abhängig vom regelungsverhalten zB. wie smooth ist die Spurführung; HUD zeigt nur temporär relevante Größen bzw. Infos (linke und rechte Fahrspur) an --> sehr gut","-","-","Schwankungen in Spurführung (Frequenz und Amplitude) spielen eine Rolle wie kompetent man das System wahrnimmt oder bewertet ( vor allem stark bei Vergleich verschiedener Systeme); Abbremsverhalten bei Einscherern","Blinken bei Spurwechsel (kurz) unerwartet, dass System kurz abwirft; bei der Beschleunigung über 130 hinaus sehr lange bis wieder verfügbar, ","Transition bei Spurwechseln zu lang, Wechsel zwischen H-Off und H-on sollte ikonografisch besser sein; Am anfang nicht genau klar welcher modus (ersten 20min), danach aber alles klar; ","war nicht so salient die Warnung, akustisch muss nicht sofort am Anfang sein, Warnung Hands-off: zu oft bei Spurwechslen wenn man nicht blinkt; die animtaion hände ans lrenkrad wenn lenkrad gelb --> die animation der hände ist su spät, zu langer delay; ","Layout und Menge an tasten sehr gut und clean, Taste Set und IO Funktion nicht optimal; Kombi könnte vertikaler sein; informationen augeräumt; grüne einklammerung von relevanten Fahrzeugen etc. sehr nett; ","teilweise zu spät gebremst bei Einscherern, etwas sanfter bremsen; Spurhaltung war gut außer leichtes Schwingen in Baustelle, aber schon noch gut","Eher ja","Ja","Eher ja","Ja","","überwiegend H-on fahren","-","nett.","1220.74","11.7","","","157.71","","","","","","","","1051.33","","","","","","","","","","","",""
"50","2022-03-22 10:09:12","3","de","2109477753","2022-03-22 09:50:12","2022-03-22 10:09:12","61","Gruppe B (H-off)","","","","","anfangs etwas unsicher; nimmt Hände manchmal zu früh weg obwohl noch H-on (anfänglich); Hände und Füße allgemein sehr nah am Lenkrad bzw. Pedal --> sieht leicht verkrampft aus","Kommentar Proband: kleines Problem mit Lenkung bei Baustellmarkierungen","-","System bremst nicht ob wohl man auf Autobahnabfahrt war; Baustellenmarkierungen Lenkung etwas schwammig und man muss teilweise gegenlenken; Spurwechsel und Vorderfahrzeug auch (Schulterblick)--> System bremst und greift schnell ein --> super; ","System reagiert wie erwartet, keine kritsichen Situationen","System weist gut draufhin wenn manabgelenkt ist; Lenksystem deaktiviert udn man wusste in welchem modus","sehr hilfreich, manchmal ist an etwas unaufmerksam und ein signal was einen aufweckt wäre --> akustisiches signal könnte lauter und bereits am anfang gegeben werden","Bedienung einfach und komfortabel; Anzeige relativ übersichtlich, wenig Text, merh Grafik, Frabwahl grün, orgnage und rot gut und erregt Aufmerksamkeit","soweit gut, am Anfang etwas ungewohnt und man vertraut nicht so stark am anfang und man neigt schnell einzugreifen, später weiss man aber wie das System funktioniert und vertraut stärker, ansonsten gutes Systemverhalten","Ja","Ja","Ja","Eher ja","","Situationsabhängig aber eher Hands - on","-","Gute Studie","1139.45","9.94","","","116.57","","","","","","","","1012.94","","","","","","","","","","","",""
"52","2022-03-23 16:15:09","3","de","2079994479","2022-03-23 15:54:52","2022-03-23 16:15:09","62","Gruppe B (H-off)","","","","","Bei potentiell gefährlichen Situationen hält sich Proband bereit (z.B. Auto fährt knapp auf anderes auf, sehr enges Vorbeifahren an LKW, Fahrzeug auf Gegenspur will einscheren)
Trigger am BaustellenEnde (zu spät von mir gedrückt): 2 Fahrzeuge auf Einfädelspur rechts wollen (drängen) sich auf Spur, Proband hält sich bereit und übernimmt aber trotzdem knapp (früheres Bremsen hätte Situation vermieden)
Trigger: Warning ""Assistenz ist eingeschränkt verfügbar"" (Übergabe durch System), als Proband Blinker setzt und links jemand aber auf Spur ist 
Trigger Fahrzeug schert knapp vor uns ein, Proband hält sich bereit
Trigger: Hands-On Warnung zwischendurch (hat Proband vllt Transition zu H-on übersehen?) ","1x DMS (wirkte wie False Alarm)
Sehr häufig bei Hands-on Warnung insbesondere bei Spurwechseln (wirkt auch eher wie False Alarm, sollte überprüft werden) 
Rest siehe oben","","1. Pulk von Autos auf mittlerer und linker SPur wo man nicht genau wusste was dann weiter draus entsteht
2. Autobahnauffahrt, Auto ist von Beschleunigungsspur rausgezogen aber System hat selbst nicht gebremst ","Wenn man Spurwechsel macht und den nur ganz langsam macht gibt es von System nen Widerstand und grad wenn man in der Mitte ist weiß System nicht in welcher Spur es grad ist und versucht zurückzulenken, obwohl man Blinker gesetzt hat. ","1x hat System aufgefordert Lenkrad zu übernehmen, aber weiß nicht was da außergewöhnliches vorgefallen ist (wurde von VL durch Triggerbutton markiert) ","Ist mir nicht aufgefallen dass es ausgelöst hätte (notiz VL: hat es aber ein mal)","Auf Kombi-Display wurden auch Fahrzeuge auf Nachbarspur angezeigt, auf HUD nicht. Würde mic hschon sicherer fühlen wenn ich wüsste welche Fahrzeuge erkannt wurden. Noch nennen, dass Erkennung von Fahrzeugen auch relativ fehlerhaft ist (erst spät entdeckt, Verwechslung PKW und LKW) ","Dass es auch erkennen könnte, wenn Nachbarfahrzeuge einen Blinker gesetzt haben, dass man im Vorhinein schon Geschwindigkeit verringert. ","Eher nein","Eher ja","Eher nein","Eher nein","","Besser wenn man nur Tempomat fährt, weil sonst muss man ja eh die ganze Zeit aufpassen und mit L2 ist es noch schwerer die Aufmerksamkeit auf der Straße zu halten. HandsOff eher nein, weil man muss ja trotzdem aufmerksam sein und wenn man sich mit was anderem beschäftigt vergeht zu viel Zeit als dass man wieder ans Lenkrad kommt. ","Nein","Nein","1216.7","8.2","","","297.48","","","","","","","","911.02","","","","","","","","","","","",""
"53","2022-03-24 10:41:34","3","de","678377991","2022-03-24 10:18:29","2022-03-24 10:41:34","63","Gruppe B (H-off)","","","","","Eingewöhnung: Spurwechsel abgebrochen durch anderes Fahrzeug auf rechter Spur
Versuch:
Proband stellt zu Beginn Radio ein -> Warnung
1x nach Spurwechsel: Proband lässt Hände zu früh los
Proband betätig 1x unabsichtlich die Bremse -> aktiviert L2 anschließend wieder","Baustellenauffahrt: Fahrzeug will weiße Spuren folgen -> Proband greift ein (Hände bereits am Lenkrad) -> drückt Trigger -> kommt in Spur sehr weit nach rechts -> VL warnt","Feedback des Probanden: hatte häufiger ""abgeschalten"", also durch System unaufmerksamer
wäre im eigenen Fahrzeug öfter am Handy
findet Baustellen gefährlich","","leicht unsicher bei Ausfahrt, ob Fahrzeug einfach weiter gerade fährt, bzw. ob VP lenken darf/kann","bei Eingewöhnung kam es bei Spurwechsel zum Abbruch durch anderes Fahrzeug. Kommunikation des Fahrzeugs noch nicht ganz ausgereift
teilweise unsicher wie System kommunizieren wird","positiv überrascht, dass zurückhalten aber doch in richtigen Situationen gewarnt
nicht nervig","alles ok, relativ selbsterklärend
könnte für andere nicht ganz klar sein (die Tastenaufteilung & Funktionen) er kennt das BMW System aber schon","bremst teilweise recht spät
positiv: beschleunigt zügig bei Überholvorgängen","Ja","Ja","Ja","Ja","","träumt davon, dass er ein L4 Fahrzeug besitzt
findet Automation und auch dieses H-off super!","","","1385.45","8.58","","","321.58","","","","","","","","1055.29","","","","","","","","","","","",""
"54","2022-03-24 14:38:28","3","de","1433756915","2022-03-24 13:57:58","2022-03-24 14:38:28","6","Gruppe A - Termin 2: H-on","","","","","","","Nein, VL-Protokoll von H-On Übergabe ist in H-off Interview drin","Hat glaub ich 3x TriggerKnopf gedrückt, vor allen 3 Fahrten die er gemacht hat. ","Man fährt ja in Garage los und fährt dann bis zur Autobahn (2-3 km). Auf Autobahn sofort 3x gedrückt und dann bei Rückkehr von Autobahn auch nichts mehr gedrückt. Was soll ich da deaktiviert haben? ","Hats von selbst gemacht wenn Seitenbegrenzung weg war (ich nie abgeworfen). Wenn z.B. Seitenbegrenzung weg war bricht er halt ab und mit Baustellen hat er Probleme. Dann gibt er Ton und in Anzeige auch. ","1 oder 2 Mal passiert, da hatte ich 1 Hand für längere Zeit auf Bein gelegt. Aber dann weiß man ja dass mans nicht darf, weil man beobachtet wird. ","Nein gibt nichts","Wenn er auf äußerer Spur links war tendiert er stark zur Leitplanke hin, wenn er auf rechter Spur war tendiert er zum Randstreifen. So würde ich nicht fahren. Am Anfang hat man da Angst aber gewöhnt sich dran. Beim dritten Fahren war es dann klar. Mit Zeit gewinnt man Vertrauen i nSystem, dass er wirklich immer bremst. ","Ja","Ja","Ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Insgesamt sehr positiver Eindruck. In meinem privaten Fahrzeug gibts Geschwindigkeitseinsteller, das würde ich nicht nutzen. Das System hier in der Studie würde ich nutzen. ","","","545.17","7.56","","","55.86","","","","","","","","481.75","","","","","","","","","","","",""
"55","2022-03-24 16:47:23","3","de","662048971","2022-03-24 16:27:28","2022-03-24 16:47:23","6","Gruppe A - Termin 2: H-off","""Kann mir nicht vorstellen mal Auto zu fahren, das ganz alleine fährt, wo ich nicht mehr verantwortlich bin & lesen kann""
sagt er seiht HUD nicht von der Höhe
fürs Überholen will er mehr Gas geben
hat viele Fragen zu Systemaufforderungen zur Übernahme
""Fahren ist einfacher als ich dachte""","","Fragt zu Beginn gleich ""Muss ich die Hände wegnehmen""? Gewöhnt sich aber sehr schnell dran
Verwechselt bei On und off Triggerknopf und Aktivierung (Auf Anforderung zu Aktivieren will er Trigger drücken)
""Fährt sehr weit auf linker Spur""
Eingewöhnung: Will immer die Hände bei H.on wegnehmen

Hat große Probleme mit Spurwechsel (Ablauf), funktioniert oft nicht oder wird von ihm oder System abgebrochen
Viele Triggerpunkte beziehen sich auf Spurwechsel
1 Trigger: system wirft im Spurwechsel ab (stumm, schrittweise scheinbar eins nach dem anderen abgeschalten), dann fährt er kurz manuell und versteht dann nicht, dass es bei erneuter Aktivierung nicht reaktiviert solange er Fuß auf Bremse hat 
6: Trigger: bei Spurwechsel merkt Proband nicht dass er Hon fahren muss, merkt auch gelbes Icon nicht, Fahrzeug fährt über Zielspur (will von links zu mitte) hinaus und halb auf rechte Spur
8. Trigger: Fahrzeug bremst erst recht spät ab bei Einscherer, VL warnt

In Baustelle und manchmal auch außerhalb: Proband gibt selbst Gas
","2. Trigger: Abwurf durch System bei Spurwechsel (Unterstützung durch FAS eingeschränkt. Das kommt sehr oft (auch Trigger 5 und 7, danach noch öfter ohne Triggersetzung, Proband fragt auch mal, was das... ist das ein Systemfehler (kommt meist (immer?) bei Spurwechsel)?
3. Trigger: Meldung Aufmerksamkeitserkennung eingeschränkt obwohl sich nichts verändert hat
4. Trigger: SPurwechselassistent nur unter 80 km/h verfügbar; wir waren aber über 80 kmh
+ viele H-on DMS Warnungen / Teilabwürfe bei Spurwechseln","","","Macht bei Off Fahrt noch mal Bemerkung zu on: Fand Kombi zu tief","nein","Nach 1. Fahrt war ich noch etwas unsicher, würde sich bei mehrmaliger Nutzung verbessern, ","glaub es hat keinen Ton von sich gegeben, das wäre hilfreich","ist das überhaupt passiert","Mir schien beim OnFord die Bedienung logischer oder einfacher als heute; hier hatte ich eher das gefühl ich müsste hingucken, z.b. um plus oder minus (geschwindigkeit) einzustellen, das hat mich eher abgelenkt (merkt bei Einführung schon an, dass es hier kein haptisches Feedback bei Lenkradtasten gibt (um zu wissen wo welche Taste ist)","mal konnte ich die Nutzung nicht verstehen vor allem bei Spurwechseln/Überholen, da ist mir nicht immer klar gewesen was passiert ist
In der Tendenz besser als beim OnFord, das Gefühl zu weit links oder zu weit rechts zu kommen ist hier nicht ganz so stark ausgeprägt gewesen 
Gut: im Display sieht man, dass einer überholt und dann einschert, das war bei anderem (On Ford) nicht so ","Ja","Ja","Ja","Eher nein","H-on","Hands-on ist für mich nicht so entscheidend, weil ich muss ja trotzdem aufmerksam sein. H-off kein großer Vorteil für mich 
Bei Frage zuvor ""ist mir egal, aber ich brauche die hands-off nicht""","Ne","nein","1195.57","6.05","","","760.99","","","","","","","","428.53","","","","","","","","","","","",""
"57","2022-03-25 10:45:04","3","de","1188891167","2022-03-25 09:58:57","2022-03-25 10:45:03","7","Gruppe A - Termin 2: H-on","","","","","","","","Tempolimit falsch oder korrekt erkannt
Auto hätte rechts überholt
","Auto hätte rechts überholt
Auto bremst aus unbekannten Gründen auf 60km/h (nicht durch Verkehrszeichenerkennung zu begründen)
wenn es ""komplex"" wurde (z.B. Wechsel Autobahn)
insgesamt selten","keine Aufforderungen","Hände nicht länger weggenommen
keine Fehlwarnungen","nur drei Tasten benutzt: Einschalten, Geschwindigkeit hoch/runter
Abstand nicht verändert, sondern nur über Geschwindigkeit -> vollkommen ausreichend","System gut übersteuerbar aber wahrnehmbar
grundsätzlich sehr zuverlässig
Querführung 1x irritiert durch Reflexion in Fahrbahn-Naht (Fehlerkennung) -> Gegenlenken des VPs","Eher ja","Ja","Eher ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Bereitschaft Aufpreis für L2 zu zahlen fraglich
Insgesamt als sehr angenehm empfunden
Querführung kaum im Vordergrund gestanden","","","2766.95","2136.06","","","3.88","","","","","","","","627.01","","","","","","","","","","","",""
"58","2022-03-25 11:13:42","3","de","1685851530","2022-03-25 10:52:05","2022-03-25 11:13:42","64","Gruppe B (H-off)","","","","","Extrem begeistert;
- Trigger 1, 2, 8, 9 (von Proband oder VL): LKW fährt sehr weit rechts, teilweise mit Spurüberfahrung, Proband hält sich zur Übernahme bereit
- Trigger 3: in Baustelle Abbruch von H-on (Proband: ""Oh"")
- Trigger 4: Proband übernimmt (vorausschauend) und muss dann stark bremsen weil in Spur vor Fahrzeug plötzlich stehende Fahrzeuge (Unfall?)
- Trigger 5: Proband trinkt etwas
- Trigger 6: Fahrzeug hat Problem mit ausgefrästen Spuren (ehemalige gelbe), wackelt in Spur
- Trigger 7: Auto auf linker Spur fährt sehr nah ran, will vermutlich sehr knapp einscheren (bricht aber Einschermanöver ab)","","","Frage von ihr: Misst sich Auto an Fahrbahnmarkierung? Fahrzeuge auf anderen Spur, nimmt es die auch mit in die Gleichung? Ab wann merkt Fahrzeug, dass n Fahrzeug zu nah dran ist? Ich hab das zwar öfter (auch bei meinem Mann) aber war mir heute auch mehrfach unsicher, ob er das erkennt oder nicht. Das fiele natürlich weg wenn alle automatisiert fahren. Das wäre dann natürlich auch für Personen, die ne Einschränkung haben, besonders gefährlich. Bei LKW-Fahrern nah an Spur oder knappen Einscherern","Bin überrascht wie gut es funktioniert, man muss sich nur etwas eingrooven um Vertrauen zu fassen. Dann stellt man schnell fest dass es gut knapp. ","1x (in Baustelle) hab ichs nicht ganz verstanden, warum; beim zweiten Mal hab ihcs dann verstanden.","Keine Warnung; ich find ich war noch aufmerksamer als sonst wenn ich fahr","Nein, geht gut","1x hat er bei gefräster Spur gestolpert, hat sich aber schnell wieder gefangen; manchmal merkt man gar nicht so dass er bremst und man jetzt langsamer hinter LKW fährt als man müsste, merkt erst später dass man ja aussscheren könnte; Ich war insgesamt gelassener und bin ruhiger gefahren als sonst","Ja","Ja","Ja","Ja","","Ja, würde das immer nutzen wollen, liebe so was
Längsführung geht echt super
Hände weg: voll cool
Würde es gern auch in Stadt nutzen, um Arbeitsweg entspannter zu machen und dass man Zeit besser nutzen kann","hat viel Spaß gemacht
Finde das ganz toll, auch für Eltern super und für eingeschränkte","Allgemeine Kommentare von früher: Bremse ist relativ streng; bin Elektroauto gewohnt, da rekuperiert das Auto sobald man vom gas geht, ich bremse als immer eher weniger","1297.47","8.56","","","184.28","","","","","","","","1104.63","","","","","","","","","","","",""
