"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Einleitung","VP","AutoFahrt","DatumFahrt","DauerFahrt","L2AnteilFahrt","Probandencode[Vorname]","Probandencode[Strasse]","Probandencode[Tag]","DefGesamtsystem1","Vertrauen[TiA1]","Vertrauen[TiA2]","Vertrauen[TiA3]","Vertrauen[TiA4]","Vertrauen[TiA5]","Vertrauen[TiA6]","Vertrauen[TiA7]","Vertrauen[TiA8]","Vertrauen[TiA9]","Vertrauen[TiA10]","Vertrauen[TiA11]","Vertrauen[TiA12]","Vertrauen[TiA13]","Vertrauen[TiA14]","Vertrauen[TiA15]","Vertrauen[TiA16]","Vertrauen[TiA17]","Vertrauen[TiA18]","Vertrauen[TiA19]","DefGesamtsystem2","Akzeptanz[PE1]","Akzeptanz[PE3]","Akzeptanz[PE4]","Akzeptanz[EE1]","Akzeptanz[EE2]","Akzeptanz[EE3]","Akzeptanz[EE4]","Akzeptanz[ATT1]","Akzeptanz[ATT2]","Akzeptanz[ATT3]","Akzeptanz[ATT4]","Akzeptanz[FC1]","Akzeptanz[FC2]","Akzeptanz[FC3]","Akzeptanz[ITU1]","Akzeptanz[ITU2]","Akzeptanz[ITU3]","Akzeptanz[PS1]","Akzeptanz[PS2]","Akzeptanz[PS3]","Akzeptanz[PS4]","Akzeptanz[PS5]","Akzeptanz[PS6]","DefGesamtsystem3","Systemverstaendnis[1]","Systemverstaendnis[2]","Systemverstaendnis[3]","Systemverstaendnis[4]","Systemverstaendnis[5]","Systemverstaendnis[6]","Systemverstaendnis[7]","Systemverstaendnis[8]","Systemverstaendnis[9]","Systemverstaendnis[10]","Systemverstaendnis[11]","Systemverstaendnis[12]","Systemverstaendnis[13]","Systemverstaendnis[14]","Systemverstaendnis[15]","Systemverstaendnis[16]","DefGesamtsystem4","NDRTs[NDRT1]","NDRTs[NDRT2]","NDRTs[NDRT3]","NDRTs[NDRT4]","NDRTs[NDRT5]","NDRTs[NDRT6]","NDRTs[NDRT7]","NDRTs[NDRT8]","MatrixNDRTsFreitext[0_SQ001]","MatrixNDRTsFreitext[1_SQ001]","MatrixNDRTsFreitext[2_SQ001]","MatrixNDRTsFreitext[3_SQ001]","MatrixNDRTsFreitext[4_SQ001]","MatrixNDRTsFreitext[5_SQ001]","DefGesamtsystem5","SubjUeberwachguete[1]","SubjEinflussSetting","SubjEinflussSettKomm","Kommentare","SonstKommentare","interviewtime","groupTime6915","EinleitungTime","VPTime","AutoFahrtTime","DatumFahrtTime","DauerFahrtTime","L2AnteilFahrtTime","groupTime6921","ProbandencodeTime","groupTime6916","DefGesamtsystem1Time","VertrauenTime","groupTime6917","DefGesamtsystem2Time","AkzeptanzTime","groupTime6918","DefGesamtsystem3Time","SystemverstaendnisTime","groupTime6919","DefGesamtsystem4Time","NDRTsTime","MatrixNDRTsFreitextTime","groupTime6920","DefGesamtsystem5Time","SubjUeberwachgueteTime","SubjEinflussSettingTime","SubjEinflussSettKommTime","KommentareTime","SonstKommentareTime"
"49","2022-03-16 18:09:24","7","de","1944101496","2022-03-16 18:00:59","2022-03-16 18:09:24","","58","1","2022-03-16 00:00:00","50","48","JA","Mu","11","","4","4","2","3","1","4","0","4","4","0","4","3","2","4","1","0","3","3","4","","7","7","7","7","7","7","7","7","3","3","7","7","7","7","7","7","7","1","2","4","7","7","1","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","1","0","5","5","5","0","5","3","","","","Kurz Nachrichten lesen auf der Smart Watch","","","","5","1","","","","507.28","28.98","","","","","","","49.32","","95.49","","","99.54","","","92.09","","","113.31","","","","28.55","","","","","",""
"51","2022-03-18 11:18:41","7","de","172119611","2022-03-18 11:06:35","2022-03-18 11:18:41","","4","1","2022-03-18 00:00:00","70","60","IN","LU","07","","4","4","1","4","4","4","1","4","4","1","4","4","2","4","4","1","3","4","4","","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","2","1","6","6","1","7","7","","0","1","0","0","0","1","1","0","0","0","1","1","1","1","0","1","","3","3","4","4","4","0","4","3","","","","","","","","4","1","","","","728","53.81","","","","","","","40.17","","157.85","","","228.16","","","120.11","","","87.35","","","","40.55","","","","","",""
"53","2022-03-18 18:21:28","7","de","437115675","2022-03-18 18:13:03","2022-03-18 18:21:28","","5","1","2022-03-18 00:00:00","50","50","TE","MI","08","","4","4","0","4","3","4","1","4","4","1","4","4","3","4","3","1","0","3","4","","7","3","7","7","7","7","7","7","1","3","3","7","7","1","7","7","7","1","2","5","7","7","7","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","3","3","5","4","5","2","5","4","","","","","","","","5","0","wäre insgesamt weniger aufmerksam auf den Verkehr gewesen. Hätte vermutlich Musik bedient, gegessen, aus dem Fenster geblickt etc.
","","","506.49","17.73","","","","","","","23.17","","108.2","","","156.72","","","78.86","","","47.04","","","","74.77","","","","","",""
"54","2022-03-20 14:48:25","7","de","596869797","2022-03-20 14:29:52","2022-03-20 14:48:25","","59","1","2022-03-20 00:00:00","70","60","ha","mü","02","","3","3","0","2","2","4","1","2","3","2","3","3","2","3","1","1","0","2","3","","6","4","5","6","6","6","6","6","4","6","6","5","5","4","6","6","6","2","5","5","5","6","3","","0","1","0","0","0","1","1","0","0","0","1","1","1","1","0","1","","3","1","4","3","3","1","4","3","","","","","","","","5","1","","","","1113.51","136.14","","","","","","","87.47","","237.22","","","253.68","","","177.78","","","162.98","","","","58.24","","","","","",""
"57","2022-03-21 16:27:03","7","de","690675223","2022-03-21 16:16:48","2022-03-21 16:27:03","","60","0","2022-03-21 00:00:00","52","49","NE","MU","07","","3","3","3","4","4","3","1","4","3","3","4","2","1","2","4","1","3","3","3","","6","4","3","5","6","5","6","5","3","5","5","6","6","6","6","6","6","4","5","3","6","4","3","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","3","3","4","5","4","2","5","4","","","","","","","","3","0","Wahrscheinlich ein, zweimal Nachrichten am Handy gecheckt","Optimierungsbedarf bei System State (an- und ausschalten sollte klarer werden), Ikonographie, Spurwechsel.","","615.62","53.03","","","","","","","69.66","","100.8","","","130.68","","","68.73","","","92.28","","","","100.44","","","","","",""
"60","2022-03-22 09:58:05","7","de","2122885699","2022-03-22 09:47:58","2022-03-22 09:58:05","","61","0","2022-03-22 00:00:00","62","60","LA","MÜ","10","","3","4","4","4","2","4","0","3","4","0","4","3","2","2","3","0","4","3","4","","7","7","6","7","7","7","7","7","5","7","7","6","7","7","7","7","7","1","1","1","7","7","4","","0","1","1","0","0","1","1","0","0","0","1","1","2","1","0","1","","1","1","3","4","4","1","3","2","","","","","","","","5","1","","Sicheres System, das zur Fahrsicherheit und Komfort beiträgt.","","609.48","27.38","","","","","","","39.96","","138.76","","","115.58","","","123.4","","","103.14","","","","61.26","","","","","",""
"63","2022-03-23 16:07:19","7","de","428526775","2022-03-23 15:53:47","2022-03-23 16:07:19","","62","0","2022-03-23 00:00:00","60","50","na","en","08","","3","4","2","3","4","3","0","3","3","1","4","3","3","3","3","2","0","3","3","","5","1","4","5","5","7","7","5","1","4","4","6","7","7","5","5","5","6","5","3","6","1","7","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","2","1","0","4","1","","","","","","","","6","1","","- Widerstand des Systems bei# leichten Spurwechseln
- System hat Bereitschaft in einer Baustelle signalisiert, aber beim wegnehmen der Hände nicht die Spurführung übernommen","","812.3","13.92","","","","","","","26.91","","171.47","","","238.15","","","144","","","90.36","","","","127.49","","","","","",""
"64","2022-03-24 10:29:39","7","de","154618972","2022-03-24 07:50:34","2022-03-24 10:29:39","","63","0","2022-03-24 00:00:00","70","65","na","ka","07","","3","4","4","4","4","3","3","4","3","3","4","3","2","3","4","4","4","3","3","","7","4","5","7","7","6","6","7","7","7","7","3","7","7","7","7","7","5","5","1","3","4","1","","0","1","1","1","0","1","1","0","0","0","0","1","1","1","0","0","","5","4","5","5","5","2","5","5","","","","","","","","4","0","Handynutzung","","Warnmeldung bei Annäherung einer Baustelle wäre ratsam","9544.19","8779.88","","","","","","","32.48","","154.14","","","214.37","","","152.84","","","129.25","","","","81.23","","","","","",""
"65","2022-03-24 16:39:25","7","de","396534819","2022-03-24 13:35:43","2022-03-24 16:39:25","","6","0","2022-03-24 00:00:00","50","45","SE","LÜ","07","","3","3","4","4","4","4","1","4","3","1","4","5","4","4","0","0","4","4","4","","6","5","5","6","5","6","5","6","5","5","6","5","5","4","6","6","6","1","2","2","6","6","1","","0","1","0","0","0","1","1","0","0","0","1","1","1","1","0","1","","0","0","3","0","0","0","3","0","","","","","","","","5","1","","Interessante Kennenlernen","","11022.3","10227.4","","","","","","","184.75","","148.17","","","159.78","","","115.16","","","94.79","","","","92.22","","","","","",""
"67","2022-03-25 11:01:56","7","de","670234154","2022-03-25 10:50:46","2022-03-25 11:01:56","","64","1","2022-03-25 00:00:00","55","50","te","mü","07","","3","4","1","4","3","4","0","4","3","1","3","3","2","3","3","1","1","3","4","","7","6","6","7","7","7","7","7","6","7","7","6","6","6","7","7","7","2","2","4","5","6","6","","0","1","1","2","0","1","1","0","0","0","0","1","1","1","0","1","","2","1","5","4","4","0","5","3","","","","","","","","5","0","Ich hätte evtl. mehr mit dem Soundsystem gespielt, Sender eingestellt oder ein Hörbuch angeschalten bzw. telefoniert.","Ich fand es toll. Es macht die Fahrt entspannter, da man nicht so auf das Ankommen an sich fixiert ist, sondern auf eine gemäßigte Fahrt.
Vor allem zu Beginn habe ich viel weniger Spurwechsel durchgeführt. Aber mit Eintritt einer gewissen Übung, wurde das auch mehr.","","670.3","14.07","","","","","","","46.36","","150.03","","","128.01","","","96.8","","","96.72","","","","138.31","","","","","",""
"68","2022-03-25 12:45:49","7","de","1929448676","2022-03-25 12:32:55","2022-03-25 12:45:49","","7","0","2022-03-25 00:00:00","45","45","TH","BO","11","","4","3","3","4","1","4","0","5","4","0","4","3","4","4","1","2","3","3","4","","6","4","5","6","6","6","6","6","4","6","5","6","7","4","7","6","6","2","5","1","6","7","6","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","1","2","0","3","0","","","","","","","","6","1","","Spurhalteassistent ist sicher. Der Spurwechselassistent hat nicht immer funktioniert, und es war mir unklar, warum nicht. ","L2 hands-off in der erlebten Form scheint am sinnvollsten und angenehmsten bei wenig Verkehr und eintöniger Strasse.","776.55","60.68","","","","","","","39.32","","136.86","","","165.97","","","90.32","","","75.55","","","","207.85","","","","","",""
"71","2022-03-25 18:20:25","7","de","648846486","2022-03-25 18:10:02","2022-03-25 18:20:25","","9","0","2022-03-25 00:00:00","50","49","SE","RH","09","","3","3","4","3","1","3","1","3","3","1","4","2","4","3","2","1","4","2","3","","5","2","2","6","5","6","6","5","1","2","4","4","6","4","3","2","3","1","1","2","5","4","2","","0","1","1","1","0","1","1","0","0","0","0","1","1","1","0","0","","2","3","4","3","2","0","3","1","","","","","","","","3","0","Ich wäre dem System ggü. nicht so aufgeschlossen gewesen, da es eine unbekanntere Situation gewesen wäre. Durch die vorherigen Fahrten mit einem L2 Auto, war man an ein gewisses Systemverhalten durchaus gewöhnt","","","626.58","41.68","","","","","","","128.47","","118.87","","","139.18","","","63.79","","","57.29","","","","77.3","","","","","",""
"74","2022-03-28 15:35:32","7","de","1771882265","2022-03-28 15:29:16","2022-03-28 15:35:32","","8","1","2022-03-28 00:00:00","51","50","KA","CO","05","","4","4","2","3","2","3","1","3","3","2","3","3","3","3","3","3","2","3","3","","6","4","5","6","6","5","6","6","4","5","5","6","6","6","5","5","5","2","5","4","6","6","6","","1","1","1","0","0","1","0","0","0","0","0","1","1","1","0","1","","4","4","4","4","4","2","4","4","","","","","","","","6","1","","","","377.35","23.57","","","","","","","29.17","","84.2","","","102.42","","","93.92","","","27.06","","","","17.01","","","","","",""
"75","2022-03-28 18:34:58","7","de","1326104446","2022-03-28 16:20:29","2022-03-28 18:34:58","","65","0","2022-03-28 00:00:00","50","45","IT","IL","04","","3","3","1","5","3","3","1","4","3","1","4","3","4","3","2","0","0","3","3","","6","2","5","7","6","6","6","5","2","4","4","5","6","5","6","6","5","2","2","4","5","6","4","","0","1","0","0","0","1","1","0","0","0","1","1","2","1","0","2","","2","3","3","3","4","0","5","3","","","","","","","","5","1","","","","8069.77","7271.18","","","","","","","48.5","","190.53","","","206.7","","","160.49","","","141.27","","","","51.1","","","","","",""
"76","2022-03-29 16:09:06","7","de","552820627","2022-03-29 13:49:47","2022-03-29 16:09:06","","66","1","2022-03-29 00:00:00","70","65","HI","Mü","OK","","3","2","0","4","3","3","0","3","3","1","2","2","2","3","1","1","0","2","3","","7","7","6","6","6","6","7","7","4","6","7","5","6","6","7","7","7","2","5","4","6","6","6","","0","1","0","0","0","1","1","0","0","0","0","1","1","1","0","2","","1","1","3","3","3","0","3","1","","","","Umgebung anschauen","","","","6","1","","System läuft gut. Es gibt noch Situationen, bei dem das System noch nicht richtig reagiert, z.B. kurzfristiger Spurwechsel des vorausfahrenden Fahrzeugs.","Pendelt in der Fahrspur. Vielleicht ist der Seitenabstand manchmal etwas gering (wenn ein überholendes Fahrzeug auch nicht in der Spurmitte fährt).","8359.6","6869.71","","","","","","","71.98","","332.91","","","322.45","","","204.85","","","200.28","","","","357.42","","","","","",""
"77","2022-03-29 20:32:28","7","de","618722357","2022-03-29 20:22:54","2022-03-29 20:32:28","","67","0","2022-03-29 00:00:00","46","45","a","ka","05","","2","4","1","1","5","1","5","5","0","5","2","1","2","2","5","2","1","2","1","","4","3","3","2","4","6","4","4","6","5","7","4","5","4","6","5","6","7","7","7","2","2","1","","1","2","1","0","0","1","1","0","0","0","0","2","1","1","0","1","","0","0","0","0","1","0","0","0","","","","","","","","6","1","","","","575.22","32.39","","","","","","","27.65","","111.44","","","154.61","","","141.71","","","61.17","","","","46.25","","","","","",""
"78","2022-03-30 11:13:19","7","de","1615846249","2022-03-30 09:20:27","2022-03-30 11:13:19","","68","0","2022-03-30 00:00:00","70","65","KE","FR","07","","4","4","0","4","1","4","0","4","3","1","4","3","3","3","1","0","0","2","4","","7","5","6","6","7","7","7","7","6","7","6","5","6","6","7","7","6","1","7","1","6","7","5","","0","1","1","0","0","1","1","1","0","0","2","1","1","1","0","2","","1","0","3","4","3","0","4","1","","","","","","","","5","1","","Ein sehr sicheres Fahrgefühl, lediglich einige kleine Situationen in welchen ich anfangs noch leicht nervös wurde. Diese legte sich jedoch mit Verlauf der Fahrt.
nach einer kurzen Eingewöhnungsphase konnte ich dem System bereits vertrauen und war in den einzelnen Situationen bereits freudig gespannt auf die Reaktionen des Fahrzeugs. Die Fahrt machte großen Spaß
","","6772.91","5817.71","","","","","","","55.51","","211.18","","","189.93","","","132.49","","","149.8","","","","216.29","","","","","",""
"79","2022-03-30 15:50:41","7","de","1733387233","2022-03-30 13:47:08","2022-03-30 15:50:41","","69","0","2022-03-30 00:00:00","75","65","IE","WO","12","","4","4","0","3","2","4","1","3","3","0","3","3","2","4","1","0","0","3","4","","6","4","7","6","6","6","6","6","4","6","6","7","7","7","7","6","7","1","2","4","7","6","7","","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","","0","1","3","2","4","0","4","3","","","","","","","","6","1","","es hat überraschend gut funktioniert und auch leichter Regen und Gischt der anderen Fahrzeuge haben das System nicht beeinträchtigt.

es ist natürlich gewöhnungsbedürftig, aber in den 45Minuten konnte man sich gut mit dem System vertraut machen und auch komplexere Bedienungen, wie einen automatisierten Spurwechsel, durchführen (lassen)","","7414.25","6613.55","","","","","","","84.9","","200.07","","","148.12","","","117.26","","","124.31","","","","126.04","","","","","",""
"84","2022-04-01 10:46:24","7","de","1730956195","2022-04-01 10:37:46","2022-04-01 10:46:24","","12","1","2022-04-01 00:00:00","55","53","JU","MÜ","06","","2","3","1","4","0","2","2","3","3","3","2","3","2","2","3","1","0","3","3","","7","4","6","7","7","7","7","7","6","6","6","7","7","7","7","7","7","1","7","1","7","4","4","","0","1","1","0","0","1","1","0","0","0","2","1","1","1","0","2","","3","0","5","4","1","1","5","1","","","","","","","","6","0","Nachrichten gecheckt, Spotify Musik geändert","","","520.35","17.35","","","","","","","23.7","","146.63","","","145.99","","","80.64","","","50.66","","","","55.38","","","","","",""
"85","2022-04-01 12:37:44","7","de","424848297","2022-04-01 12:32:10","2022-04-01 12:37:44","","11","1","2022-04-01 00:00:00","70","55","SE","RH","09","","3","3","3","3","3","3","1","5","5","1","3","5","3","3","3","1","3","5","3","","4","4","6","6","6","6","6","5","4","5","4","6","6","6","4","4","4","2","5","2","5","4","6","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","1","1","0","0","0","","","","","","","","6","1","","","","334.69","31.02","","","","","","","18.67","","84.72","","","88.93","","","65.01","","","22.46","","","","23.88","","","","","",""
"88","2022-04-01 15:14:07","7","de","1016506286","2022-04-01 15:01:04","2022-04-01 15:14:07","","10","0","2022-04-01 00:00:00","50","48","na","la","01","","4","4","3","4","3","4","0","4","3","1","3","3","3","3","2","0","3","3","3","","6","4","5","6","6","7","7","6","3","4","4","4","6","7","5","5","5","1","6","1","5","5","1","","0","1","1","0","0","1","1","0","0","0","2","1","1","1","0","1","","0","0","3","3","3","0","3","3","","","","","","","","6","1","","Es ist ein neues Erlebnis, die Hände vom Lenkrad zu nehmen. Ich finde das auch anstrengend, allerdings, vielleicht gewöhnt man sich daran.","Es war interessant mit den Systemen zu fahren, auch wenn es gewöhnungsbedürftig war.","783.26","28.07","","","","","","","61.27","","119.04","","","175.38","","","148.39","","","55.02","","","","196.09","","","","","",""
