"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Einleitung","Probandencode[Vorname]","Probandencode[Strasse]","Probandencode[Tag]","AutoFahrt","Fahrtblock","DatumFahrt","DauerFahrt","L2AnteilFahrt","KmVorFahrt","DefGesamtsystem1","Vertrauen[TiA1]","Vertrauen[TiA2]","Vertrauen[TiA3]","Vertrauen[TiA4]","Vertrauen[TiA5]","Vertrauen[TiA6]","Vertrauen[TiA7]","Vertrauen[TiA8]","Vertrauen[TiA9]","Vertrauen[TiA10]","Vertrauen[TiA11]","Vertrauen[TiA12]","Vertrauen[TiA13]","Vertrauen[TiA14]","Vertrauen[TiA15]","Vertrauen[TiA16]","Vertrauen[TiA17]","Vertrauen[TiA18]","Vertrauen[TiA19]","DefGesamtsystem2","Akzeptanz[PE1]","Akzeptanz[PE3]","Akzeptanz[PE4]","Akzeptanz[EE1]","Akzeptanz[EE2]","Akzeptanz[EE3]","Akzeptanz[EE4]","Akzeptanz[ATT1]","Akzeptanz[ATT2]","Akzeptanz[ATT3]","Akzeptanz[ATT4]","Akzeptanz[FC1]","Akzeptanz[FC2]","Akzeptanz[FC3]","Akzeptanz[ITU1]","Akzeptanz[ITU2]","Akzeptanz[ITU3]","Akzeptanz[PS1]","Akzeptanz[PS2]","Akzeptanz[PS3]","Akzeptanz[PS4]","Akzeptanz[PS5]","Akzeptanz[PS6]","DefGesamtsystem3","Systemverstaendnis[1]","Systemverstaendnis[2]","Systemverstaendnis[3]","Systemverstaendnis[4]","Systemverstaendnis[5]","Systemverstaendnis[6]","Systemverstaendnis[7]","Systemverstaendnis[8]","Systemverstaendnis[9]","Systemverstaendnis[10]","Systemverstaendnis[11]","Systemverstaendnis[12]","Systemverstaendnis[13]","Systemverstaendnis[14]","Systemverstaendnis[15]","Systemverstaendnis[16]","DefGesamtsystem4","NDRTs[NDRT1]","NDRTs[NDRT2]","NDRTs[NDRT3]","NDRTs[NDRT4]","NDRTs[NDRT5]","NDRTs[NDRT6]","NDRTs[NDRT7]","NDRTs[NDRT8]","MatrixNDRTsFreitext[0_SQ001]","MatrixNDRTsFreitext[1_SQ001]","MatrixNDRTsFreitext[2_SQ001]","MatrixNDRTsFreitext[3_SQ001]","MatrixNDRTsFreitext[4_SQ001]","MatrixNDRTsFreitext[5_SQ001]","DefGesamtsystem5","SubjUeberwachguete[1]","SubjEinflussSetting","SubjEinflussSettKomm","Kommentare","SonstKommentare","interviewtime","groupTime6715","EinleitungTime","ProbandencodeTime","AutoFahrtTime","FahrtblockTime","DatumFahrtTime","DauerFahrtTime","L2AnteilFahrtTime","KmVorFahrtTime","groupTime6886","DefGesamtsystem1Time","VertrauenTime","groupTime6887","DefGesamtsystem2Time","AkzeptanzTime","groupTime6888","DefGesamtsystem3Time","SystemverstaendnisTime","groupTime6889","DefGesamtsystem4Time","NDRTsTime","MatrixNDRTsFreitextTime","groupTime6890","DefGesamtsystem5Time","SubjUeberwachgueteTime","SubjEinflussSettingTime","SubjEinflussSettKommTime","KommentareTime","SonstKommentareTime"
"50","2022-03-22 20:29:07","6","de","1114478501","2022-03-22 20:10:08","2022-03-22 20:29:07","","SE","RH","09","3","1","2022-03-22 00:00:00","100","100","50","","3","4","0","4","0","3","0","5","3","1","3","3","3","3","1","0","0","2","3","","4","2","3","5","5","7","6","4","1","3","2","2","7","4","2","2","2","1","3","5","5","4","3","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","1","3","3","3","0","2","0","","","","","","","","5","1","","- Das System stößt in Autobahnbaustellen an seine Grenzen
- Das System kann die Aufteilung von einer in 2 Fahrspuren nicht problemlos meistern
- Das System hat einmal ein an einer Ampel stehendes Fahrzeug sehr spät erkannt - Autobahnabfahrt, auslaufend, ggf. aufgrund von < 60 km/h? (habe manuell eingegriffen)
- Das System wirkt ""unrund"" im Hinblick auf Bodenwellen bzw. Fahrbahnunebenheiten bei Autobahnkurven","","1138.76","139.88","","","","","","","","","116.4","","","295.21","","","249.12","","","160.85","","","","177.3","","","","","",""
"51","2022-03-23 14:07:24","6","de","914240400","2022-03-23 13:05:21","2022-03-23 14:07:24","","SE","LÜ","07","2","2","2022-03-23 00:00:00","75","70","240","","4","4","0","4","4","4","1","4","4","1","4","4","3","4","3","1","0","4","4","","7","6","5","5","6","7","6","7","6","6","6","7","6","4","7","6","7","1","4","6","7","6","1","","1","0","1","0","0","1","1","0","0","0","2","0","1","1","0","1","","0","0","1","0","0","0","1","0","","","","","","","","5","1","","Mit mehr Erfahrung traue ich dem System mehr zu, verstehe es besser.
Interessant wäre es zu erfahren und erleben, wie das System funktioniert, wenn ich mit Navigation ein Ziel ansteuere.","","3723.54","385.01","","","","","","","","","2832.77","","","165.69","","","141.13","","","80","","","","118.94","","","","","",""
"53","2022-03-24 22:53:31","6","de","983612180","2022-03-24 22:41:29","2022-03-24 22:53:31","","SE","RH","09","3","2","2022-03-24 00:00:00","70","70","250","","3","4","1","3","0","3","1","3","3","1","4","2","3","3","3","1","1","2","3","","5","2","4","6","6","7","7","4","2","3","4","5","6","4","3","2","2","1","2","5","5","4","3","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","1","1","3","2","1","0","3","0","","","","","","","","2","1","","- Bei Straßenunebenheiten kann das System in Einzelfällen überfordert sein
- Einmal hat das System ein vorausfahrendes Auto erst sehr spät erkannt
- In mehreren Fällen schien das System bei Kurvenausgängen ein bisschen zu überlappen, so dass es einen leichten Schlenker nach Kurven macht
- Zum Teil erachte ich die Beschleunigung als ruckartig
- Größtenteils angenehme Verzögerung bzgl. einem langsamere vorausfahrenden Auto","- Meiner Meinung nach ist die Ablenkung mit Beifahrer bei Nutzung des Systems bedeutend höher, da man sich scheinbar nicht mehr so stark auf den Verkehr konzentrieren muss.
","722.42","85.05","","","","","","","","","109.32","","","149.68","","","132.96","","","69.7","","","","175.71","","","","","",""
"56","2022-03-25 10:33:47","6","de","991848271","2022-03-25 09:53:30","2022-03-25 10:33:47","","TH","BO","15","1","2","2022-03-25 00:00:00","45","45","250","","4","4","0","4","3","4","1","3","4","0","4","3","4","4","1","0","0","2","4","","7","4","6","6","7","7","7","7","4","5","6","6","7","4","7","7","7","2","5","3","6","7","7","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","2","2","0","2","0","","","","","","","","6","1","","Der Übergang in die Nicht-System-Phase (z.B. Abfahren von der Autobahn, Bremsen) ist etwas kritisch, ich erwarte automatisch, dass der Abstandsassistent weiterhin die geschwindigkeit regelt, was er natürlich nicht tut.","","810.74","131.29","","","","","","","","","166.87","","","150.28","","","123.47","","","107.49","","","","131.34","","","","","",""
"59","2022-03-27 11:45:12","6","de","196252193","2022-03-27 11:33:20","2022-03-27 11:45:12","","KA","CO","05","0","2","2022-03-27 00:00:00","50","45","320","","4","4","0","3","3","3","1","3","3","2","3","3","3","3","3","1","0","3","3","","6","4","5","4","6","6","6","6","4","6","6","6","6","3","4","4","4","3","4","4","5","4","5","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","3","3","4","4","4","2","4","4","","","","","","","","5","1","","","","714.18","123.28","","","","","","","","","150","","","198.09","","","114.65","","","104.41","","","","23.75","","","","","",""
"60","2022-03-28 19:59:15","6","de","7180542","2022-03-28 19:45:40","2022-03-28 19:59:15","","SE","RH","09","3","1","2022-03-28 00:00:00","180","100","35","","3","4","0","3","2","3","1","4","3","1","3","2","5","3","3","1","0","2","3","","6","2","4","5","5","5","6","5","3","4","4","5","6","4","4","4","3","2","5","4","5","5","5","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","1","1","3","3","2","1","3","1","","","","","","","","6","1","","","","816.43","370.28","","","","","","","","","152.27","","","115.31","","","83.79","","","57.28","","","","37.5","","","","","",""
"61","2022-03-28 21:02:29","6","de","575535569","2022-03-28 20:49:51","2022-03-28 21:02:29","","TA","MÜ","06","0","1","2022-03-28 00:00:00","65","65","40","","3","1","2","4","1","2","1","4","3","0","2","4","1","3","2","1","1","3","2","","7","4","6","6","7","7","7","7","4","6","6","6","7","7","7","7","7","1","6","1","6","4","5","","2","1","1","0","0","1","1","0","0","0","2","1","1","1","0","2","","2","0","5","4","0","1","5","2","","","","","","","","6","0","Hätte z.b. nach Nachrichten geschaut und in Spotify eine andere Playlist ausgewählt","","","761.63","110.37","","","","","","","","","193.62","","","146.84","","","108.49","","","122.37","","","","79.94","","","","","",""
"62","2022-03-29 13:43:17","6","de","1044971968","2022-03-29 13:27:57","2022-03-29 13:43:16","","na","la","01","2","1","2022-03-29 00:00:00","55","50","95","","3","4","4","3","4","3","1","4","3","0","2","2","2","3","2","1","2","3","3","","4","1","4","4","7","7","6","4","1","1","4","3","4","4","3","4","4","1","7","1","4","4","1","","1","1","1","0","0","1","1","0","0","0","2","0","1","1","0","2","","0","0","4","3","3","0","4","3","","","","","","","","6","0","Es war eine gewisse Anspannung da, das System fährt meiner Meinung nach nicht vorausschauend, das heißt es fährt mit der eingestellten Geschwindigkeit und Abstand auf das vordere Fahrzeug auf und bremst dann abrupt ab, das kostet Nerven","Hatte am Anfang Probleme, das System zu aktivieren, lag aber an mir. Nach Telefonat mit ihnen kam ich zurecht","","921.22","113.66","","","","","","","","","158.37","","","172.7","","","116.94","","","81.58","","","","277.97","","","","","",""
"64","2022-03-31 14:37:55","6","de","1395967320","2022-03-31 14:19:05","2022-03-31 14:37:55","","na","la","01","2","2","2022-03-31 00:00:00","59","55","99","","4","4","3","4","3","3","1","4","3","1","4","2","3","3","2","1","3","2","3","","7","4","5","5","7","7","7","5","2","2","5","5","6","4","4","2","2","1","1","1","4","5","1","","1","1","1","0","0","1","1","0","0","0","2","1","1","1","0","1","","0","0","3","3","3","0","3","3","","","","","","","","6","1","","liest Geschwindigkeitsbegrenzungen neben der Autobahn und bremst dann ab, finde ich gefährlich. in Eching, wo die Stuttgarter Autobahn abzweigt liest er Richtung München 80 und bremst ab, darf nicht sein","","1130.03","399.99","","","","","","","","","153.49","","","206.43","","","114.22","","","87.84","","","","168.06","","","","","",""
"65","2022-04-01 03:14:43","6","de","198961942","2022-04-01 03:03:38","2022-04-01 03:14:43","","JU","MÜ","06","0","2","2022-03-31 00:00:00","65","65","220","","2","3","2","4","0","3","1","4","3","0","3","4","1","2","3","1","1","3","3","","6","2","6","7","7","7","7","6","4","4","4","6","7","7","6","6","7","1","7","5","7","4","4","","2","1","1","0","0","1","1","0","0","0","0","1","1","1","0","2","","3","0","5","4","1","1","5","1","","","","","","","","6","0","Z.b. playlist in Spotify am Handy gewechselt","","","663.04","103.91","","","","","","","","","170.82","","","146.26","","","111.61","","","66.18","","","","64.26","","","","","",""
"67","2022-04-01 10:05:48","6","de","1499725018","2022-04-01 09:57:54","2022-04-01 10:05:48","","SE","RH","09","3","2","2022-04-01 00:00:00","300","100","5","","3","4","1","4","3","3","1","4","3","1","3","2","3","3","3","1","0","2","3","","5","4","4","7","7","7","7","5","4","4","4","6","7","7","4","4","4","1","4","2","6","5","7","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","2","0","0","0","0","","","","","","","","6","1","","Datenaufzeichnung nach Tanken erst nicht aktiv","Sehr interessante Studie, vielen Dank für die Teilnahmemöglichkeit.","473.64","82","","","","","","","","","82.78","","","128.88","","","82.76","","","41.61","","","","55.61","","","","","",""
"68","2022-04-04 16:39:38","6","de","481142356","2022-04-04 16:11:02","2022-04-04 16:39:38","","IA","MU","01","0","1","2022-04-04 00:00:00","50","48","30","","4","4","0","2","1","4","0","2","4","1","4","3","3","3","1","0","0","3","3","","7","6","6","7","7","7","7","7","6","7","7","7","7","7","7","7","7","1","1","1","7","6","7","","1","1","1","0","0","1","1","0","0","0","2","1","1","1","0","1","","0","0","3","2","1","0","2","1","","","","","","","","6","1","","Bei Fahrbahntrennstreifen funktioniert das System im Spurwechsel nicht zuverlässig, obwohl die weiße Linie klar sichtbar war
Der automatische Spurwechsel ist gewöhnungsbedüftig, da bei Erreichen der Abstandsgrenze zum Vorfahrzeug trotz bereits gesetztem Blinker das Fahrzeug beim Spurwechsel die Geschwindigkeit reduziert, das ist in der Realität unsicher
Das Fahrzeug hat einmal auf einer 4 spurigen Autobahn versucht, ganz rechts zu überholen (Spur1), während auf der dritten Spur ein langsameres Fahrzeug fuhr.","","1717.17","171.57","","","","","","","","","399.96","","","292.31","","","291.3","","","164.77","","","","397.26","","","","","",""
"75","2022-04-04 18:22:53","6","de","107354419","2022-04-04 18:01:02","2022-04-04 18:22:53","","Li","RH","04","3","1","2022-04-04 00:00:00","220","100","50","","3","4","1","4","4","3","3","4","3","1","4","3","2","3","3","1","1","3","3","","7","4","4","7","7","7","7","4","1","4","4","1","7","7","7","7","7","4","7","4","4","4","1","","1","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","","1","0","2","3","0","0","0","0","","","","","","","","6","1","","Es war eine interessante Fahrt mit einigen korrigierenden Eingriffen. Hat Spaß gemacht. :-)","Gute Organisation!","1312.12","324.69","","","","","","","","","201.17","","","277.4","","","214.12","","","153.53","","","","141.21","","","","","",""
"76","2022-04-05 19:16:31","6","de","1899628764","2022-04-05 18:58:11","2022-04-05 19:16:31","","Li","Rh","04","3","2","2022-04-05 00:00:00","240","100","30","","3","4","1","4","4","3","3","4","3","1","3","3","3","3","3","1","3","3","3","","4","1","4","7","7","7","7","4","4","7","7","1","7","7","7","7","7","4","7","7","4","1","1","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","2","3","0","0","0","0","","","","","","","","5","1","","Die Kameras können schlecht Doppelmarkierungen (gelb / weiß) erkennen, wenn diese dicht nebeneinander auf der Fahrbahn aufgebracht sind. Schwache gelbe Markierungen werden teilweise nicht erkannt.","","1101.6","277.73","","","","","","","","","157.4","","","224.66","","","143.12","","","113.81","","","","184.88","","","","","",""
"77","2022-04-05 22:36:52","6","de","1910896325","2022-04-05 22:24:19","2022-04-05 22:36:52","","TA","BU","09","1","1","2022-04-05 00:00:00","120","100","2","","3","4","1","5","1","3","0","5","3","0","3","2","1","3","4","1","1","2","3","","6","2","4","5","7","7","7","7","2","6","6","4","6","4","7","7","7","2","2","2","5","6","6","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","4","4","1","0","4","1","","","","","","","","2","1","","","","754.76","155.83","","","","","","","","","153.78","","","193.77","","","155.85","","","71","","","","24.53","","","","","",""
